id	title	category	price	salePrice	description	inStock	seedCount	daysToMaturity	avgReview	numReviews	isNew
BEAN1	Kentucky Wonder	beans	3.99		This 1800s variety is known for its exceptional flavor and tenderness. One of the oldest and most popular green beans on the market. The 9" pods are produced in clusters and are thick and stringless. Delicious fresh, frozen, or dried and shell beans. Early maturing and extremely productive.	15	100	58	4	36	
BEAN2	Blue Lake	beans	3.99	2.99	Save space growing this traditional bean vertically. A popular variety for decades and a favorite among market growers due to the reliable yields, good size, and overall output throughout the season. This cold and heat tolerant variety produces insane amounts of dark green, stringless pods containing white beans measuring around seven inches in length. 	20	100	65	4	53	
BEAN3	Contender	beans	3.99		One of the best bush beans ever! This variety produces a week earlier than others and has a strong distinctive flavor that isn't lost during canning. Produces 6-8" bright green, oval, stringless pods. A great variety to choose from for both early season cool temperatures and can withstand the heat in the summer.	18	100	50	3	22	
BEET1	Detroit Dark Red	beets	3.99		Use the deep green tops raw for salads, or cooked like Swiss Chard as a nutrient side dish. Beet bottoms can be steamed, roasted, grilled, pickled, or added with other root vegetables and are incredible in just about any application. One of the more large beet varieties. Awesome for preserving. Fun Fact: This beet dates as late as the 1800s.	30	100	60	4.5	75	
BEET2	Cylindra	beets	4.99	3.99	Best beet variety for preservation. Cylindra Beets grow to be 5" in length and 2" in diameter. The cylindrical growth pattern makes for uniform slices, perfect for canning. A unique and must-try for the buttery-silk texture, with a rich sweet flavor perfect for eating on fresh salads.	4	100	55	3.5	32	true
BEET3	Early Wonder 	beets	2.99		A top contender for market growers. The Early Wonder Tall Top Beet grows uniform spears that reach 3-4 inches. Great for pickling and fresh eating or juicing!	0	100	45	4	41	
CAR1	Scarlet Nantes	carrots	3.99		This carrot is one of the most popular carrots for home gardeners and market gardeners alike. Consistent 6-7 inch roots, consistent shape, and a sweet flavor make it great for fresh eating or long storage.	3	250	65	5	83	
CAR2	Danvers	carrots	2.99		Bright orange conical roots with rugged tops, strong. Perfect for heavy soil! Versatile variety for canning, freezing, storing, and carrot juice. Resists splitting. Make an ABC juice with this carrot, one apple, 1/4 of a beet, and 1 carrot – nutrient-packed and tasty!	25	250	70	3.5	71	
CAR3	Purple	carrots	4.99		This variety produces sweet, long carrots around 1 inch in diameter. They are cold hardy and will overwinter in the ground. Grown for its showy color and vibrance, it has the added bonus of being one of the most nutritious carrots out there. The deep purple color offers more antioxidants than orange carrots and is higher in minerals and vitamins.	21	250	60	4	35	
CAR4	Yellow	carrots	4.99	3.99	Yellow carrot is a wonderful way to add more color and vibrancy to your dishes! Perfect for planting for the spring and fall time.	19	250	60	3.5	28	true
